Year,Month,Day,Accident Name,Train Name,Location,State,Accident Rail Zone,Accident Type,Standard Accident Type,Cause,Deaths,Injuries,Rescue Time (hrs),Reforms/Changes,Standard Cause Type
1957,August,21,Katpadi Junction Explosion,Goods Wagon,Katpadi Junction,Tamil Nadu,Southern,Explosion,Bombing,Crackers exploded in wagon,5,12,4,Safety guidelines for transporting explosives,Sabotage
1957,November,8,Kosma Station Train Collision,Unknown,Kosma Station,Uttar Pradesh,Northern,Collision,Collision,Signal failure,#N/A,#N/A,3,Signal system upgrades,Technical Fault
1957,November,23,Bombay-Calcutta Mail Derailment,Bombay-Calcutta Mail,Near Padali,Maharashtra,Central,Derailment,Derailment,Track failure,9,54,4,Stricter track inspections,Weather Conditions
1958,May,21,Chamaraj Express Train Derailment,Express Train,Near Chamaraj,Karnataka,Southern,Derailment,Derailment,Unknown,31,41,7,Improved track safety measures,Weather Conditions
1959,October,20,Bidanpur Station Head-on Collision,Agra Cantt-Allahabad Passenger & Ratlam Goods Special,Bidanpur Station,Uttar Pradesh,Northern,Collision,Collision,Human error,#N/A,#N/A,8,Stricter protocols for head-on collisions,Technical Fault
1961,January,4,Umeshnagar Head-on Collision,Passenger Trains,Near Umeshnagar,Bihar,East Central,Collision,Collision,Signal failure,35,61,4,Improved signal protocols,Technical Fault
1961,March,8,Kalihar Collision,Passenger & Freight Train,Between Kalihar and Bihar,Bihar,East Central,Collision,Collision,Signal miscommunication,11,37,4,Enhanced communication protocols,Technical Fault
1961,October,20,Ranchi Express Derailment,Ranchi Express,200 km from Kolkata,West Bengal,Eastern,Derailment,Derailment,Track failure,47,#N/A,7,Stricter track maintenance,Weather Conditions
1962,July,22,Punjab Mail Dumraon Collision,Punjab Mail,Dumraon Railway Station,Bihar,East Central,Collision,Collision,Goods train on track,110,#N/A,7,Signal system improvements,Technical Fault
1963,July,22,Udyan Abha Toofan Express Derailment,Udyan Abha Toofan Express,Etmadpur near Tundla Junction,Uttar Pradesh,North Central,Derailment,Derailment,Unknown,120,#N/A,7,Stricter inspection protocols,Weather Conditions
1964,December,23,Pamban-Dhanuskodi Train Washed Away,Pamban-Dhanuskodi Passenger,Rameswaram,Tamil Nadu,Southern,Derailment,Derailment,Cyclone,130,#N/A,7,Weather warning system improvements,Weather Conditions
1965,June,19,Railway Worker Train Collision,Freight & Railway Worker Train,800 km from Mumbai,Maharashtra,Central,Collision,Collision,Miscommunication,15,#N/A,7,Safety guidelines for worker trains,Technical Fault
1966,February,16,Mail Express Bombing,Mail Express,Assam,Assam,North East Frontier,Explosion,Bombing,Bombing (Naga separatists),27,#N/A,5,Increased security measures,Sabotage
1966,April,20,Lumding Station Bombing,Unknown,Lumding Railway Station,Assam,North East Frontier,Explosion,Bombing,Bombing (Naga separatists),55,127,5,Increased station security,Sabotage
1966,April,23,Diphu Station Bombing,Unknown,Diphu Railway Station,Assam,North East Frontier,Explosion,Bombing,Bombing (Naga separatists),40,60,5,Enhanced surveillance measures,Sabotage
1966,June,13,Matunga Train Collision,Passenger Trains,Near Matunga Railway Station,Maharashtra,Central,Collision,Collision,Signal failure,57,100,5,Signal system upgrades,Technical Fault
1968,March,19,Yalvigi Station Collision,Deccan Express & Birur-Hubli Passenger,Yalvigi Station,Karnataka,Southern,Collision,Collision,Signal failure,53,42,7,Improved communication protocols,Technical Fault
1969,February,4,Bridge Girder Incident,Passenger Train,Near Madras,Tamil Nadu,Southern,Derailment,Derailment,Roof passengers struck by girder,32,50,7,Roof passenger safety improvements,Weather Conditions
1969,June,21,Magari River Train Derailment,Unknown,Muhammadabad,Uttar Pradesh,North Eastern,Derailment,Derailment,Unknown,70,130,7,Stricter track and bridge inspections,Weather Conditions
1969,July,14,Jaipur Train Collision,Passenger Train,Jaipur,Rajasthan,North Western,Collision,Collision,Goods train collision,85,130,7,Improved station signal protocols,Technical Fault
1970,April,28,Barauni Kanpur Passenger Train Collision,31 Up Barauni Kanpur Passenger Train,Lucknow Junction,Uttar Pradesh,Northern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1970,May,29,Janata Express Train Derailment,18 Up Delhi-Madras Janata Express,Talamanchi Station,Andhra Pradesh,South Central,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1970,September,28,Amritsar-Howrah Mail Derailment,6 Down Amritsar-Howrah Mail,Karna Station,Uttar Pradesh,Northern,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1970,October,26,Head-on Collision,1 Ajd Up Passenger Train and 456 Down Goods Train,Khurja Junction Station,Uttar Pradesh,Northern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1970,October,31,Madras-Mangalore Mail Collision,1 Down Madras-Mangalore Mail and 19 Down Madras Cochin Mail,Perambur Station,Tamil Nadu,Southern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1970,November,5,Diesel Erb Special Collision,Down Diesel Erb Special 1 and 46 Down (Hyderabad-Howrah Express),Between Retang and Bhubaneswar Stations,Odisha,East Coast,Collision,Collision,-,#N/A,#N/A,1,#N/A,Technical Fault
1971,January,6,Ranaghat-Barasat Local Trains Collision,R 81 Up Ranaghat Local and T151 Up Barasat Local Trains,Dum Dum Junction Station,West Bengal,Eastern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1971,April,25,Head-on Collision,102 Do-4 Up Goods Train and 395 Wardha Kazipet Passenger Train,Near Asifabad Road Station,Telangana,South Central,Collision,Collision,-,#N/A,#N/A,4,#N/A,Technical Fault
1971,June,26,Borivli-Churchgate Suburban Train Crash,Borivli-Churchgate Suburban Train,Goregaon Yard,Maharashtra,Western,Collision,Collision,-,#N/A,#N/A,1,#N/A,Technical Fault
1971,November,11,Lucknow Store Incharge Death,,Lucknow,Uttar Pradesh,Northern,Fatality,Fatality,-,#N/A,#N/A,8,#N/A,Unknown
1972,April,26,Train Derailment,,Mysore State,Karnataka,South Western,Derailment,Derailment,-,21,37,7,#N/A,Weather Conditions
1972,June,28,Udaipur City-Marwar Passenger Train Derailment,222 Down Udaipur City-Marwar Jn. Passenger Train,Between Phulad and Marwar Ranawas Stations,Rajasthan,North Western,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1973,July,27,South Bihar Express Rear Collision,87 Up South Bihar Express and 5 Up Howrah Amritsar Mail,Km. 291.767 between Joramow Block Hut and Madhupur Junction Station,Jharkhand,Eastern,Collision,Collision,-,#N/A,#N/A,3,#N/A,Technical Fault
1973,December,12,Rear-End Collision,358 Up Itarsi-Bhusaval Passenger and Stationary Goods Train No.L-30 Up,Burhanpur Station,Madhya Pradesh,West Central,Collision,Collision,-,#N/A,#N/A,1,#N/A,Technical Fault
1974,February,21,Passenger-Freight Train Collision,Passenger Train and Freight Train,Moradabad,Uttar Pradesh,Northern,Collision,Collision,-,41,63,7,#N/A,Technical Fault
1974,March,9,Mixed Train Derailment,662 Up Mixed Train,Between Sillipur and Birpur Stations,Madhya Pradesh,West Central,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1974,July,2,Rear-End Collision,55 Up Patna Delhi Express and Stationary Up Amritsar Special Goods,Chandausi Junction Station,Uttar Pradesh,Northern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1974,November,12,Fire on Sealdah Samastipur Fast Passenger,311 Up Sealdah Samastipur Fast Passenger,Between Rampur Dumra and Hatidih Link Cabin,Bihar,East Central,Fire,Fire,-,#N/A,#N/A,1,#N/A,Human Error
1975,February,26,Kamrup Express Derailment,59 Up Kamrup Express,Between New Jalpaiguri and Ambari Falakata Stations,West Bengal,North East Frontier,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1975,January,29,Darjeeling Mail Collision,43 Up Darjeeling Mail and the rear of H. 185 Up Habra Local,Ultadanga Road Station,West Bengal,Eastern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1975,March,26,Sealdah Lalgola Passenger Derailment,365 Up Sealdah Lalgola Passenger Train,Birnagar Station,West Bengal,Eastern,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1975,November,26,Dehra Dun Express Derailment,20 Up Dehra Dun Express,Virar Station,Maharashtra,Western,Derailment,Derailment,-,#N/A,#N/A,1,#N/A,Weather Conditions
1976,January,6,Cochin Harbour Terminus Mail Derailment,20 Up Cochin Harbour Terminus Madras Central Mail,Between Mukundarayapuram and Walajah Road Junction Stations,Tamil Nadu,Southern,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1976,May,24,Kurla Wiring Train Collision,Kurla Wiring Train and N-9 Down Local Train,Between Vikhroli and Kanjur Marg Stations,Maharashtra,Central,Collision,Collision,-,#N/A,#N/A,1,#N/A,Technical Fault
1976,July,14,Mixed Train Derailment,234 Down Mixed Train,Between Golaghat and Furkating,Assam,North East Frontier,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1976,August,30,Kamrup Express Derailment,59 Up Kamrup Express,Between Samsi and Bhaluka Road Stations,West Bengal,North East Frontier,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1976,October,11,Patna Hatia Express Derailment,23 Up Patna Hatia Express,Between Silli and Kita Stations,Jharkhand,South Eastern,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1976,October,23,Suburban Train Derailment,No. 371 Down Suburban Train,Bandra Station,Maharashtra,Western,Derailment,Derailment,-,#N/A,#N/A,1,#N/A,Weather Conditions
1976,November,17,Double Collision,Oja Special Goods Train and Wjd-12 Up Goods Train,Srivenkateswarapalem,Andhra Pradesh,South Central,Collision,Collision,-,#N/A,#N/A,1,#N/A,Technical Fault
1977,February,7,Kathgodam Bareilly Passenger Derailment,104 Down Kathgodam Bareilly Passenger,Haldwani Station,Uttarakhand,North Eastern,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1977,March,25,Waltair Kazipet Passenger Collision,Up BPQD Goods Train and No.76 Up Waltair Kazipet Passenger,Kesamudram Station,Telangana,South Central,Collision,Collision,-,#N/A,#N/A,4,#N/A,Technical Fault
1977,April,20,Sealdah-Lalgola Passenger Derailment,367 Up Sealdah-Lalgola Passenger Train,Madanpur Station Yard,West Bengal,Eastern,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1977,May,27,Madras Central Mail Collision,20 Up Trivandrum Central Madras Central Mail and Two Coupled Light Engines,Tiruvalam Station Yard,Tamil Nadu,Southern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1977,May,30,Bridge Collapse,13 Up Tezpur Express,"Beki River, Near Guwahati",Assam,North East Frontier,Bridge Collapse,Structure Collapse,-,45,100,5,#N/A,Human Error
1977,August,4,Passenger Trains Derailment,Two Dsu Passenger Trains,Modinagar Station,Uttar Pradesh,Northern,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1977,October,10,Howrah-Amritsar Deluxe Express Collision,103 Up Howrah-Amritsar Deluxe Express and CPC Special Goods Train,Naini Station,Uttar Pradesh,Northern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1977,October,17,Madras Rameswaram Passenger Derailment,107 Down Madras Rameswaram Passenger,Between Paramakkudi and Pandikanmoi Stations,Tamil Nadu,Southern,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1977,November,9,Bhusaval Nagpur Passenger Collision,385 Bhusaval Nagpur Passenger and Cargo Train,Akola Station,Maharashtra,Central,Collision,Collision,-,#N/A,#N/A,1,#N/A,Technical Fault
1977,November,23,Train Derailment,,Near Rewari,Haryana,Northern,Derailment,Derailment,Sabotage,20,21,4,#N/A,Weather Conditions
1978,February,9,Madras Howrah Janata Express Collision,38 Down Madras Howrah Janata Express and Jbd-II Down Goods Train,Vedayapalem Station,Andhra Pradesh,South Central,Collision,Collision,-,#N/A,#N/A,3,#N/A,Technical Fault
1978,April,18,Bombay Ahmedabad Janta Express Collision,7 Down Bombay Ahmedabad Janta Express and 537 Down Churchgate Virar Suburban Train,Bassain Road Station,Maharashtra,Western,Collision,Collision,30,60,#N/A,5,#N/A,Technical Fault
1978,August,26,Grand Trunk Express Collision,Madras New Delhi Grand Trunk Express,Between Tondalagopavaram and Errupalem Stations,Andhra Pradesh,South Central,Collision,Collision,-,#N/A,#N/A,3,#N/A,Technical Fault
1978,September,18,Ahmedabad Bombay Passenger Train Accident,40 Up Ahmedabad Bombay Passenger Train,Valsad Station,Gujarat,Western,Collision,Collision,-,#N/A,#N/A,3,#N/A,Technical Fault
1978,October,11,Miraj Pune Passenger Collision,316 Up Miraj Pune Passenger and M-32 LNN Down Diesel Goods Train,Between Bhavani Nagar and Takari Stations,Maharashtra,South Central,Collision,Collision,-,#N/A,#N/A,6,#N/A,Technical Fault
1978,November,4,Howrah Kalka Mail Derailment,1 Up Howrah Kalka Mail,Between Baruipara and Kamarkundu,West Bengal,Eastern,Derailment,Derailment,-,#N/A,#N/A,8,#N/A,Weather Conditions
1978,November,11,Miraj Pune Passenger Collision (Repeat),316 Up Miraj Pune Passenger and M-32 LNN Down Diesel Goods Train,Between Bhavani Nagar and Takari Stations,Maharashtra,South Central,Collision,Collision,-,#N/A,#N/A,6,#N/A,Technical Fault
1978,December,23,Avadh-Trihut Mail Collision,1 Dn Avadh-Trihut Mail and 26 Dn Guwahati Dhubri Passenger,Near Sarupeta Station,Assam,North East Frontier,Collision,Collision,-,18,25,4,#N/A,Technical Fault
1979,May,12,Pathankot-Nagrota Passenger Derailment,3 Pn Up Pathankot-Nagrota Passenger Train,Between Talara and Jawanwala Shah Stations,Punjab,Northern,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1979,May,18,Howrah-Kharagpur Local Collision,K. 121 Up Howrah-Kharagpur Local and 3 Up Howrah-Madras Mail,Between Bauria and Chengail Stations,West Bengal,South Eastern,Collision,Collision,-,#N/A,#N/A,8,#N/A,Technical Fault
1979,October,26,Electric Multiple Unit Trains Collision,Electric Multiple Unit Trains No. E-65 and E-67,Madras Egmore Station,Tamil Nadu,Southern,Collision,Collision,-,#N/A,#N/A,6,#N/A,Technical Fault
1979,November,14,Matunga Train Collision,Two Trains,Near Matunga Station,Maharashtra,Central,Collision,Collision,-,5,50,2,#N/A,Technical Fault
1979,November,22,Saurashtra Mail Derailment,6 Up Saurashtra Mail and 24 Down Somnath Mail,Sabarmati Station,Gujarat,Western,Derailment & Collision,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1979,December,3,Mahalaxmi Express Derailment,204 Down Mahalaxmi Express,Near Lalhond Halt Station,Karnataka,South Central,Derailment,Derailment,-,#N/A,#N/A,3,#N/A,Weather Conditions
1979,December,8,Suburban Train Collision,T-181 Down Bombay V.T. Thane Suburban Train and T1-31 Down Suburban Train,Between Ghatkopar and Vikhroli Stations,Maharashtra,Central,Collision,Collision,-,#N/A,#N/A,6,#N/A,Technical Fault
1979,December,23,Avadh-Trihut Mail Collision,1 Dn Avadh-Trihut Mail and 26 Dn Guwahati Dhubri Passenger,Near Sarupeta Station,Assam,North East Frontier,Collision,Collision,18,25,#N/A,7,#N/A,Technical Fault
1981,February,12,Vaniyambadi Collision,"No.20 Madras Mail, Trivandrum Mail, Yercaud Express",Vaniyambadi,Tamil Nadu,Southern,Collision,Collision,Collision,#N/A,#N/A,6,#N/A,Technical Fault
1981,June,6,Bihar Train Derailment,Unknown,Bagmati River Bridge,Bihar,East Central,Derailment,Derailment,Unknown,800,#N/A,7,#N/A,Weather Conditions
1981,July,16,Narmada Express Collision,Narmada Express,Between Khodri and Bhanwar Tonk,Madhya Pradesh,West Central,Collision,Collision,Rear Collision,50,49,7,#N/A,Technical Fault
1981,July,19,Gujarat Derailment,Unknown,Gujarat,Gujarat,Western,Derailment,Derailment,Sabotage,30,70,7,#N/A,Weather Conditions
1982,January,28,Agra Collision,Unknown,Agra,Uttar Pradesh,North Central,Collision,Collision,Fog,50,50,7,#N/A,Technical Fault
1982,March,20,Andhra Pradesh Bus Collision,Mangalore–New Delhi,Warangal Station,Andhra Pradesh,South Central,Level crossing,Level crossing,59,25,#N/A,1,#N/A,Human Error
1984,February,10,Bahadurgarh Station Collision,"2 DR (Rohtak–Delhi), 38 Down Punjab Mail",Bahadurgarh,Haryana,Northern,Collision,Collision,Rear collision,43,58,7,#N/A,Technical Fault
1984,September,15,Jabalpur-Gondia Mishap,Unknown,"Charegaon, Balaghat",Madhya Pradesh,West Central,Derailed in river,Derailment,Bridge Failure,157,#N/A,5,#N/A,Weather Conditions
1984,August,15,Coromandel Express Derailment,Coromandel Express,"Chhattrapur, near Berhampur",Odisha,East Coast,Derailment,Derailment,Unknown,16,#N/A,4,#N/A,Weather Conditions
1984,November,22,Mumbai Local Rail Disaster,Unknown,Byculla Station,Maharashtra,Central,Collision,Collision,Unknown,#N/A,#N/A,6,#N/A,Technical Fault
1985,February,23,Rajnandgaon Train Fire,Express Train,Rajnandgaon,Madhya Pradesh,South East Central,Fire,Fire,Unknown,55,#N/A,5,#N/A,Human Error
1985,June,13,Agra Rail Disaster,Express and Goods Train,Agra,Uttar Pradesh,North Central,Collision,Collision,Unknown,38,#N/A,7,#N/A,Technical Fault
1985,November,22,Dhupguri Train Collision,Tinsukia Mail,Dhupguri,West Bengal,North East Frontier,Collision,Collision,Unknown,1,300,7,#N/A,Technical Fault
1986,March,10,Khagaria Rail Disaster,Unknown,Khagaria,Bihar,East Central,Collision,Collision,Unknown,58,#N/A,4,#N/A,Technical Fault
1987,July,8,Machieral Rail Disaster,Delhi-Dakshin Express,Macherial,Andhra Pradesh,South Central,Derailment,Derailment,Unknown,53,#N/A,3,#N/A,Weather Conditions
1987,March,15,Rockfort Express Bombing,Rockfort Express,Ariyalur,Tamil Nadu,Southern,Explosion (Bomb),Bombing,Bombing,25,132,7,#N/A,Sabotage
1988,April,18,Lalitpur Rail Disaster,Karnataka Express,Lalitpur,Uttar Pradesh,North Central,Derailment,Derailment,Unknown,75,#N/A,7,#N/A,Weather Conditions
1988,July,8,Peruman Railway Accident,Island Express,"Peruman Bridge, Ashtamudi Lake",Kerala,Southern,Derailment,Derailment,Bridge Failure,105,200,7,#N/A,Weather Conditions
1988,December,16,Coromandel Express Derailment,Coromandel Express,Vijayawada,Andhra Pradesh,South Central,Derailment,Derailment,Unknown,8,64,5,#N/A,Weather Conditions
1989,November,1,Udyan Abha Toofan Express Derailment,Udyan Abha Toofan Express,Sakaldiha,Uttar Pradesh,East Central,Derailment,Derailment,Unknown,48,#N/A,7,#N/A,Weather Conditions
1990,April,16,Patna Rail Disaster,Shuttle Train,Near Patna,Bihar,East Central,Fire,Fire,Fire,70,#N/A,5,#N/A,Human Error
1990,June,6,Gollaguda Train Fire,Unknown,Gollaguda,Andhra Pradesh,South Central,Fire,Fire,Fire,36,#N/A,5,#N/A,Human Error
1990,June,25,Mangra Train Collision,"Freight Train, Passenger Train",Mangra,Bihar,East Central,Collision,Collision,Unknown,60,#N/A,4,#N/A,Technical Fault
1990,October,10,Cherlapalli Train Fire,Unknown,Near Cherlapalli,Andhra Pradesh,South Central,Fire,Fire,Fire,40,#N/A,5,#N/A,Human Error
1991,March,6,Karnataka Express Derailment,Karnataka Express,Near Makalidurga Ghats,Karnataka,South Western,Derailment,Derailment,Rain,30,#N/A,4,#N/A,Weather Conditions
1991,December,12,Kangra Valley Train Crash,Kangra Valley Train,Near Jawali,Himachal Pradesh,Northern,Collision,Collision,Unknown,27,#N/A,7,#N/A,Technical Fault
1992,September,5,Raigarh Train Collision,Unknown,Raigarh,Madhya Pradesh,South East Central,Collision,Collision,Unknown,41,#N/A,5,#N/A,Technical Fault
1993,January,16,Howrah Rajdhani Express Collision,"Howrah Rajdhani Express, Goods Train",Between Roorah and Ambiyapur,Uttar Pradesh,North Central,Collision,Collision,Unknown,#N/A,#N/A,8,#N/A,Technical Fault
1993,July,16,Darbhanga Train Accident,Unknown,Darbhanga District,Bihar,East Central,Derailment,Derailment,Unknown,60,#N/A,5,#N/A,Weather Conditions
1993,September,21,Kota-Bina Train Collision,"Kota–Bina Passenger Train, Freight Train",Near Chhabra,Rajasthan,West Central,Collision,Collision,Unknown,71,#N/A,7,#N/A,Technical Fault
1994,May,3,Narayanadri Express Collision,Narayanadri Express,Nalgonda District,Andhra Pradesh,South Central,Collision (with tractor),Collision,Level crossing,35,#N/A,3,#N/A,Technical Fault
1994,October,26,Mumbai–Howrah Mail Fire,8001 DN Mumbai–Howrah Mail,Unknown,Unknown,South Eastern,Fire,Fire,Fire,27,#N/A,7,#N/A,Human Error
1995,May,14,Salem Train Collision,"Madras–Kanyakumari Express, Freight Train",Near Salem,Tamil Nadu,Southern,Collision,Collision,Unknown,52,#N/A,4,#N/A,Technical Fault
1995,June,1,Jammu Tawi Express Collision,"Jammu Tawi Express, Coal-laden Goods Train",Unknown,Unknown,Northern,Collision,Collision,Unknown,45,335,7,#N/A,Technical Fault
1995,June,1,Hirakud Express Derailment,Hirakud Express,Barpali,Odisha,East Coast,Derailment,Derailment,Unknown,15,#N/A,4,#N/A,Weather Conditions
1995,August,20,Firozabad Rail Disaster,"Purushottam Express, Kalindi Express",Near Firozabad,Uttar Pradesh,North Central,Collision,Collision,Stationary train,400,#N/A,7,#N/A,Technical Fault
1996,April,18,Gorakhpur-Gonda Collision,"Gorakhpur–Gonda Passenger Train, Freight Train",Domingarh Station,Uttar Pradesh,North Eastern,Collision,Collision,Unknown,60,#N/A,7,#N/A,Technical Fault
1996,May,14,Ernakulam-Kayamkulam Collision,Ernakulam–Kayamkulam Train,Near Alappuzha,Kerala,Southern,Collision (with bus),Collision,Level crossing,35,#N/A,5,#N/A,Technical Fault
1996,May,25,Allahabad Passenger Collision,Allahabad-bound Passenger Train,Near Varanasi,Uttar Pradesh,North Central,Collision (with tractor-trolley),Collision,Level crossing,25,#N/A,7,#N/A,Technical Fault
1996,December,30,Brahmaputra Mail Bombing,Brahmaputra Mail,Between Kokrajhar and Fakiragram,Assam,North East Frontier,Bombing,Bombing,Bomb,33,#N/A,7,#N/A,Sabotage
1997,July,8,Lehra Khanna Train Bombing,Passenger Train,"Lehra Khanna Station, Punjab",Punjab,Northern,Bombing,Bombing,Bomb,33,#N/A,7,#N/A,Sabotage
1997,July,28,Karnataka-Himsagar Collision,"Karnataka Express, Himsagar Express",Outskirts of Delhi,Delhi,Northern,Collision,Collision,Unknown,12,#N/A,4,#N/A,Technical Fault
1997,August,15,Coromandel Express Collision,"42 Down Coromandel Express, 41 Up Coromandel Express",Near Visakhapatnam,Andhra Pradesh,East Coast,Collision,Collision,Unknown,75,#N/A,2,#N/A,Technical Fault
1997,September,14,Ahmedabad–Howrah Derailment,Ahmedabad–Howrah Express,Bilaspur District,Madhya Pradesh,South East Central,Derailment,Derailment,Unknown,81,#N/A,5,#N/A,Weather Conditions
1997,October,5,Coromandel Express Derailment,42 Down Coromandel Express,Rajahmundry,Andhra Pradesh,East Coast,Derailment,Derailment,Unknown,#N/A,#N/A,1,#N/A,Weather Conditions
1997,December,6,Serial Bomb Blasts,"Cheran Express, Pandian Express, Chennai-Alleppey Express","Erode, Tiruchirappalli, Thrissur",Kerala,Southern,Bombing,Bombing,Bomb,10,70,5,#N/A,Sabotage
1998,January,6,Bareilly–Varanasi Collision,"Bareilly–Varanasi Passenger Train, Kashi Vishwanath Express",Near Hardoi,Uttar Pradesh,Northern,Collision,Collision,Unknown,70,#N/A,7,#N/A,Technical Fault
1998,April,4,Fatuha Train Crash,Howrah–Danapur Express,Near Fatuha Station,Bihar,East Central,Derailment,Derailment,Unknown,11,50,5,#N/A,Weather Conditions
